lon,lat,pm01,pm02
107.493225,33.501385,11.95,11.95
107.66577,33.504803,11.14,11.14
107.83826,33.507984,11.62,11.62
108.01102,33.510925,11.71,11.71
108.1835,33.513607,11.69,11.69
108.35611,33.51605,11.73,11.73
108.528595,33.518257,11.4,11.4
108.70111,33.52021,11.17,11.17
108.874115,33.521923,11.23,11.23
109.046326,33.523388,8.37,8.37
109.21939,33.524612,8,8
109.39252,33.525597,8.01,8.01
109.56433,33.52633,7.85,7.85
109.73755,33.52683,8.02,8.02
109.90723,33.52707,8.36,8.36
110.081566,33.527073,8.25,8.25
110.255646,33.52684,8.37,8.37
110.42841,33.526356,9.55,9.55
110.60133,33.52563,9.53,9.53
110.77405,33.52466,9.47,9.47
110.946465,33.52345,9.5,9.5
111.11908,33.521984,12.74,12.74
111.291954,33.520287,12.46,12.46
111.46447,33.518337,12.78,12.78
111.636856,33.516148,12.94,12.94
111.80959,33.513714,14.7,14.7
111.982185,33.511036,18.69,18.69
112.15486,33.50811,18.02,18.02
112.32742,33.504944,17.36,17.36
112.499985,33.501534,22.29,22.29
112.6724,33.497883,26.8,26.8
112.844894,33.493984,23.55,23.55
113.017334,33.48984,25.16,25.16
113.18979,33.485455,22.07,22.07
113.362144,33.480827,19.73,19.73
113.53463,33.475956,19.12,19.12
113.70703,33.470848,18.82,18.82
113.879295,33.465485,19.2,19.2
114.051544,33.45988,19.85,19.85
114.22383,33.454044,19.97,19.97
114.396194,33.447952,19.81,19.81
114.568275,33.441628,18.92,18.92
114.74029,33.43507,19.24,19.24
114.91243,33.428257,20.65,20.65
115.084465,33.421204,20.48,20.48
115.25647,33.41391,16.72,16.72
115.42846,33.406372,16.38,16.38
115.60039,33.398598,16.41,16.41
115.77225,33.390583,16.52,16.52
115.94403,33.38232,17.98,17.98
116.115814,33.37382,15.82,15.82
116.28747,33.365093,15.81,15.81
116.459076,33.356113,16.82,16.82
116.6307,33.346893,19.61,19.61
116.802246,33.337437,19.03,19.03
116.97373,33.327744,18.3,18.3
117.14516,33.317802,16.52,16.52
117.31647,33.307636,22.55,22.55
117.48785,33.297222,23.66,23.66
117.659,33.28657,24.22,24.22
117.830185,33.27568,24.05,24.05
118.001236,33.26456,18.11,18.11
118.17227,33.253193,17.65,17.65
118.34328,33.2416,19.17,19.17
118.51411,33.229763,21.1,21.1
118.68492,33.217686,30.28,30.28
118.85566,33.205383,29.71,29.71
119.02627,33.19284,31.26,31.26
119.19683,33.18006,32.74,32.74
119.367355,33.16705,38.27,38.27
119.53775,33.153797,37.93,37.93
119.70809,33.140316,37.62,37.62
119.87835,33.1266,37.71,37.71
120.04849,33.11265,39.73,39.73
120.21857,33.09847,39.93,39.93
120.38856,33.08405,44.67,44.67
120.558426,33.06941,42.25,42.25
120.728264,33.054527,36.95,36.95
120.89805,33.039413,36.96,36.96
121.06764,33.024063,35.43,35.43
121.237175,33.008495,29.75,29.75
121.40659,32.992687,13.47,13.47
121.57594,32.976658,13.49,13.49
121.74516,32.960392,13.48,13.48
121.91428,32.9439,9.97,9.97
122.08339,32.927177,2.18,2.18
122.25232,32.910225,2.18,2.18
122.42117,32.893055,2.19,2.19
122.58985,32.875652,1.68,1.68
122.75847,32.858013,0.64,0.64
122.92699,32.840157,0.64,0.64
123.0954,32.82208,0.64,0.64
123.263725,32.803764,0.73,0.73
123.43191,32.78523,1.02,1.02
107.48898,33.645264,10.21,10.21
107.66174,33.648693,9.98,9.98
107.834625,33.651875,10.39,10.39
108.00757,33.654827,10.94,10.94
108.1806,33.657524,11.45,11.45
108.35336,33.659977,11.2,11.2
108.526215,33.66218,10.86,10.86
108.69913,33.664143,10.57,10.57
108.87186,33.665863,8.34,8.34
109.045105,33.667336,8.01,8.01
109.21814,33.668568,7.88,7.88
109.390594,33.669548,7.9,7.9
109.563446,33.670288,7.98,7.98
109.73755,33.670776,8.34,8.34
109.90512,33.671032,8.22,8.22
110.08847,33.67104,8.66,8.66
110.25717,33.670803,9.56,9.56
110.42841,33.67032,9.35,9.35
110.60231,33.669594,9.31,9.31
110.775314,33.66861,9.35,9.35
110.94812,33.667393,12.06,12.06
111.12117,33.665928,11.37,11.37
111.294075,33.664223,11.61,11.61
111.466736,33.66227,11.84,11.84
111.63985,33.660072,13.17,13.17
111.81273,33.657635,17.74,17.74
111.98554,33.65494,17.16,17.16
112.158585,33.652004,16.41,16.41
112.331375,33.64883,17.66,17.66
112.504135,33.64541,22.49,22.49
112.67693,33.64174,22.1,22.1
112.84964,33.63783,29.35,29.35
113.02252,33.633675,35.69,35.69
113.19525,33.629276,29.01,29.01
113.36784,33.624626,22.43,22.43
113.5405,33.61974,19.33,19.33
113.7132,33.61461,19.38,19.38
113.8858,33.609226,22.31,22.31
114.05845,33.603615,22.54,22.54
114.230965,33.597744,20.45,20.45
114.40345,33.591644,20.14,20.14
114.575905,33.585297,18.1,18.1
114.748344,33.5787,18.84,18.84
114.92076,33.571865,19.42,19.42
115.09309,33.56479,17.3,17.3
115.26537,33.55747,15.22,15.22
115.43765,33.549908,15.27,15.27
115.609795,33.542103,16.19,16.19
115.78201,33.53406,17.21,17.21
115.95408,33.525772,15.97,15.97
116.12612,33.517246,17.08,17.08
116.298065,33.508476,15.15,15.15
116.47012,33.499462,17.79,17.79
116.64187,33.490223,18.47,18.47
116.81374,33.480732,17.07,17.07
116.985535,33.470993,16.24,16.24
117.15728,33.461025,19.97,19.97
117.32885,33.450817,18.21,18.21
117.50049,33.44037,18.02,18.02
117.67195,33.42968,18.67,18.67
117.84338,33.418755,16.67,16.67
118.014725,33.407593,15,15
118.18603,33.39619,15.84,15.84
118.35729,33.38454,20.51,20.51
118.52842,33.37267,25.41,25.41
118.699524,33.360554,25.56,25.56
118.87054,33.348206,27.44,27.44
119.04147,33.33561,29.42,29.42
119.21231,33.322792,31.04,31.04
119.38308,33.30973,30.23,30.23
119.55377,33.296436,29.96,29.96
119.7244,33.282906,30.65,30.65
119.89492,33.269142,33.8,33.8
120.06535,33.255142,40.1,40.1
120.23569,33.24091,41.72,41.72
120.40598,33.22645,35.35,35.35
120.57616,33.211746,31.93,31.93
120.74623,33.196815,29.18,29.18
120.91622,33.18165,30.23,30.23
121.08613,33.166252,16.85,16.85
121.25591,33.15062,12.01,12.01
121.42562,33.13476,11.95,11.95
121.59523,33.11867,10.34,10.34
121.76476,33.102352,4.27,4.27
121.93416,33.0858,1.96,1.96
122.10347,33.06902,1.95,1.95
122.272675,33.052017,1.7,1.7
122.441795,33.03477,0.86,0.86
122.61078,33.01731,0.62,0.62
122.779655,32.99961,0.52,0.52
122.94844,32.981697,0.68,0.68
123.1171,32.963554,0.85,0.85
123.28565,32.94518,1.1,1.1
123.45415,32.92657,9.92,9.92
107.48486,33.78913,8.53,8.53
107.65756,33.79258,9.5,9.5
107.83093,33.795776,10.15,10.15
108.00403,33.79873,10.61,10.61
108.17737,33.801445,10.67,10.67
108.350525,33.8039,10.51,10.51
108.52356,33.806114,10.07,10.07
108.696594,33.808094,8.21,8.21
108.869965,33.80981,7.81,7.81
109.04385,33.811295,7.74,7.74
109.2164,33.812523,7.99,7.99
109.390594,33.81351,8.07,8.07
109.56299,33.81426,8.2,8.2
109.73459,33.814747,7.87,7.87
109.90512,33.815002,8.36,8.36
110.08623,33.815006,9.12,9.12
110.25641,33.814762,8.85,8.85
110.430695,33.814278,8.62,8.62
110.60329,33.813545,8.4,8.4
110.77632,33.812565,9.91,9.91
110.94977,33.81134,10.11,10.11
111.12274,33.80988,11.07,11.07
111.29573,33.80817,12.39,12.39
111.469536,33.806206,12.43,12.43
111.64235,33.804005,13.98,13.98
111.81575,33.80155,15.62,15.62
111.98899,33.798847,16.16,16.16
112.16221,33.795902,18.21,18.21
112.3354,33.792713,21.29,21.29
112.50835,33.78928,21.33,21.33
112.68154,33.7856,27.77,27.77
112.85458,33.781685,40.81,40.81
113.0277,33.77751,35.96,35.96
113.20076,33.773087,27.66,27.66
113.37366,33.76843,21.23,21.23
113.54663,33.76352,20.8,20.8
113.71958,33.75837,22.97,22.97
113.89255,33.752975,23.69,23.69
114.065346,33.747334,21.31,21.31
114.23813,33.741455,21.13,21.13
114.41091,33.73533,18.22,18.22
114.58382,33.72895,16.79,16.79
114.75646,33.72234,17.81,17.81
114.92908,33.71548,17.45,17.45
115.1017,33.708374,14.74,14.74
115.2743,33.70103,13.77,13.77
115.446945,33.693436,15.5,15.5
115.61929,33.685616,14.83,14.83
115.7918,33.677536,17.15,17.15
115.96418,33.669224,15.2,15.2
116.13645,33.66067,14.31,14.31
116.30885,33.651867,17.9,17.9
116.48105,33.642822,22.34,22.34
116.65317,33.63354,19.08,19.08
116.82525,33.624012,17.01,17.01
116.997406,33.614246,16.49,16.49
117.169334,33.604244,14.87,14.87
117.34121,33.594,14.15,14.15
117.513115,33.58351,12.02,12.02
117.68496,33.572784,11.6,11.6
117.85666,33.561825,10.87,10.87
118.028305,33.55062,11.76,11.76
118.199875,33.539177,17.27,17.27
118.37143,33.527493,21.36,21.36
118.54285,33.51558,21.13,21.13
118.71419,33.50342,21.92,21.92
118.88549,33.491028,24.41,24.41
119.05673,33.47839,24.97,24.97
119.227806,33.46552,24.9,24.9
119.398865,33.452415,26.32,26.32
119.569885,33.439075,30.46,30.46
119.74078,33.42549,38.62,38.62
119.91156,33.411686,40.79,40.79
120.0823,33.397636,35.94,35.94
120.25289,33.383354,29.62,29.62
120.42342,33.36883,27.42,27.42
120.59391,33.354084,25.18,25.18
120.76427,33.339096,21.09,21.09
120.934494,33.323883,11.36,11.36
121.104706,33.30843,10.4,10.4
121.27478,33.292747,10.03,10.03
121.44478,33.27683,5.76,5.76
121.61462,33.26069,2.12,2.12
121.78441,33.244305,1.72,1.72
121.95409,33.2277,1.67,1.67
122.123665,33.210857,1.06,1.06
122.29316,33.193794,0.64,0.64
122.462494,33.1765,0.6,0.6
122.63179,33.158966,0.55,0.55
122.80096,33.141216,0.76,0.76
122.96998,33.123234,1,1
123.13891,33.105022,1.15,1.15
123.30775,33.086582,10.07,10.07
123.47649,33.067913,9.34,9.34
107.480286,33.936466,9.62,9.62
107.65381,33.93968,9.69,9.69
107.82733,33.942642,9.74,9.74
108.0007,33.945362,10.02,10.02
108.174164,33.94783,10.1,10.1
108.34778,33.95006,10.03,10.03
108.52142,33.95203,8.45,8.45
108.694336,33.953762,7.76,7.76
108.868225,33.955254,7.77,7.77
109.041626,33.95649,8.01,8.01
109.21515,33.957474,7.93,7.93
109.38867,33.95822,7.86,7.86
109.563446,33.958714,7.35,7.35
109.73682,33.958965,7.62,7.62
109.90723,33.95897,8.58,8.58
110.081566,33.958725,8.53,8.53
110.25717,33.95824,8.47,8.47
110.42979,33.95751,8.35,8.35
110.604256,33.956528,9.49,9.49
110.77758,33.9553,10.54,10.54
110.95121,33.95383,11.76,11.76
111.12466,33.952118,14.27,14.27
111.29845,33.950146,13.56,13.56
111.4718,33.94793,14.66,14.66
111.64521,33.94547,16.17,16.17
111.81898,33.94277,16.63,16.63
111.99243,33.93981,18.12,18.12
112.165825,33.936607,19.04,19.04
112.33934,33.933163,19.37,19.37
112.512794,33.92947,24.82,24.82
112.68606,33.925533,42.04,42.04
112.85944,33.921345,36.99,36.99
113.03281,33.916916,28.9,28.9
113.20614,33.91223,22.65,22.65
113.379395,33.907307,21.75,21.75
113.55264,33.90214,21.79,21.79
113.725945,33.896732,22.33,22.33
113.89903,33.891068,21.03,21.03
114.07233,33.885166,20.73,20.73
114.245384,33.879013,18.45,18.45
114.41854,33.872616,16.21,16.21
114.59159,33.865982,16.36,16.36
114.76457,33.8591,16.98,16.98
114.93749,33.851967,15.3,15.3
115.110565,33.8446,13.52,13.52
115.28332,33.83698,14.54,14.54
115.45615,33.829124,13.56,13.56
115.628876,33.821022,16.53,16.53
115.80164,33.81268,15.42,15.42
115.97433,33.804085,14.73,14.73
116.14702,33.795254,19.82,19.82
116.31951,33.786182,23.96,23.96
116.49206,33.776867,18.26,18.26
116.664505,33.767307,16.73,16.73
116.83694,33.75751,17.07,17.07
117.009224,33.747467,16.27,16.27
117.18155,33.737186,15.33,15.33
117.35373,33.72666,11.27,11.27
117.525826,33.7159,9,9
117.697945,33.70489,9.13,9.13
117.87001,33.69365,10.85,10.85
118.04194,33.68217,15.17,15.17
118.21375,33.670444,16.98,16.98
118.38558,33.65848,18.66,18.66
118.55732,33.646286,19.41,19.41
118.728935,33.63384,20.1,20.1
118.900604,33.62117,20.26,20.26
119.07204,33.60825,21.62,21.62
119.243484,33.5951,26.69,26.69
119.4148,33.58171,35.98,35.98
119.586044,33.568085,40.9,40.9
119.757225,33.554226,38.08,38.08
119.92827,33.540134,29.81,29.81
120.09926,33.5258,26.25,26.25
120.270164,33.511223,24.52,24.52
120.441055,33.49642,20.1,20.1
120.61175,33.48138,13.11,13.11
120.78238,33.466114,9.32,9.32
120.952896,33.450607,8.94,8.94
121.12338,33.43487,6.97,6.97
121.29373,33.4189,2.7,2.7
