lon,lat,uu01,vv01,vv02
107.493225,33.501385,0.39,0.43,0.43
107.66577,33.504803,0.3,0.27,0.27
107.83826,33.507984,0.3,0.2,0.2
108.01102,33.510925,0.29,0.2,0.2
108.1835,33.513607,0.29,0.22,0.22
108.35611,33.51605,0.57,0.16,0.16
108.528595,33.518257,1.45,0.14,0.14
108.70111,33.52021,1.28,0.13,0.13
108.874115,33.521923,1.3,0.13,0.13
109.046326,33.523388,1.96,0.11,0.11
109.21939,33.524612,1.89,0.09,0.09
109.39252,33.525597,1.9,0.05,0.05
109.56433,33.52633,1.88,0.04,0.04
109.73755,33.52683,1.63,0.02,0.02
109.90723,33.52707,1.52,0.02,0.02
110.081566,33.527073,1.52,0.03,0.03
110.255646,33.52684,1.51,0.03,0.03
110.42841,33.526356,1.48,0.03,0.03
110.60133,33.52563,1.47,0.02,0.02
110.77405,33.52466,1.46,0.02,0.02
110.946465,33.52345,1.44,0.02,0.02
111.11908,33.521984,1.06,0.02,0.02
111.291954,33.520287,1.05,0.02,0.02
111.46447,33.518337,0.99,0.02,0.02
111.636856,33.516148,1.01,0.02,0.02
111.80959,33.513714,1.15,0.03,0.03
111.982185,33.511036,1.8,0.02,0.02
112.15486,33.50811,1.82,0.03,0.03
112.32742,33.504944,1.52,0.03,0.03
112.499985,33.501534,2.23,0.03,0.03
112.6724,33.497883,4.48,0.04,0.04
112.844894,33.493984,4.58,0.05,0.05
113.017334,33.48984,4.74,0.05,0.05
113.18979,33.485455,4.72,0.06,0.06
113.362144,33.480827,3.64,0.06,0.06
113.53463,33.475956,3.73,0.06,0.06
113.70703,33.470848,4,0.06,0.06
113.879295,33.465485,4.33,0.06,0.06
114.051544,33.45988,4.54,0.07,0.07
114.22383,33.454044,4.59,0.07,0.07
114.396194,33.447952,4.7,0.08,0.08
114.568275,33.441628,4.48,0.07,0.07
114.74029,33.43507,4.52,0.07,0.07
114.91243,33.428257,4.58,0.07,0.07
115.084465,33.421204,4.64,0.06,0.06
115.25647,33.41391,3.4,0.06,0.06
115.42846,33.406372,2.29,0.07,0.07
115.60039,33.398598,2.2,0.08,0.08
115.77225,33.390583,2.2,0.08,0.08
115.94403,33.38232,1.09,0.09,0.09
116.115814,33.37382,0.57,0.1,0.1
116.28747,33.365093,0.54,0.1,0.1
116.459076,33.356113,0.54,0.09,0.09
116.6307,33.346893,0.24,0.07,0.07
116.802246,33.337437,0.21,0.05,0.05
116.97373,33.327744,0.22,0.04,0.04
117.14516,33.317802,0.2,0.04,0.04
117.31647,33.307636,0.16,0.02,0.02
117.48785,33.297222,0.16,0.01,0.01
117.659,33.28657,0.15,0.01,0.01
117.830185,33.27568,0.15,0.01,0.01
118.001236,33.26456,0.18,0.01,0.01
118.17227,33.253193,0.19,0.01,0.01
118.34328,33.2416,0.17,0.01,0.01
118.51411,33.229763,0.16,0,0
118.68492,33.217686,0.16,0.01,0.01
118.85566,33.205383,0.17,0.02,0.02
119.02627,33.19284,0.16,0.02,0.02
119.19683,33.18006,0.16,0.02,0.02
119.367355,33.16705,0.11,0.02,0.02
119.53775,33.153797,0.11,0.02,0.02
119.70809,33.140316,0.1,0.02,0.02
119.87835,33.1266,0.11,0.02,0.02
120.04849,33.11265,0.13,0.03,0.03
120.21857,33.09847,0.13,0.02,0.02
120.38856,33.08405,0.15,0.03,0.03
120.558426,33.06941,0.15,0.03,0.03
120.728264,33.054527,0.14,0.02,0.02
120.89805,33.039413,0.11,0.02,0.02
121.06764,33.024063,0.06,0.02,0.02
121.237175,33.008495,0.05,0.01,0.01
121.40659,32.992687,0.03,0.02,0.02
121.57594,32.976658,0.03,0.01,0.01
121.74516,32.960392,0.03,0.01,0.01
121.91428,32.9439,0.02,0.01,0.01
122.08339,32.927177,0,0.01,0.01
122.25232,32.910225,0,0,0
122.42117,32.893055,0,0,0
122.58985,32.875652,0,0,0
122.75847,32.858013,0,0,0
122.92699,32.840157,0,0,0
123.0954,32.82208,0,0,0
123.263725,32.803764,0,0,0
123.43191,32.78523,0,0,0
107.48898,33.645264,0.33,0.19,0.19
107.66174,33.648693,0.3,0.17,0.17
107.834625,33.651875,0.29,0.13,0.13
108.00757,33.654827,0.31,0.15,0.15
108.1806,33.657524,0.6,0.2,0.2
108.35336,33.659977,2.13,0.19,0.19
108.526215,33.66218,1.85,0.16,0.16
108.69913,33.664143,1.62,0.15,0.15
108.87186,33.665863,1.79,0.13,0.13
109.045105,33.667336,1.61,0.12,0.12
109.21814,33.668568,1.68,0.1,0.1
109.390594,33.669548,1.78,0.08,0.08
109.563446,33.670288,1.66,0.08,0.08
109.73755,33.670776,1.44,0.07,0.07
109.90512,33.671032,1.41,0.06,0.06
110.08847,33.67104,1.41,0.04,0.04
110.25717,33.670803,1.47,0.03,0.03
110.42841,33.67032,1.44,0.03,0.03
110.60231,33.669594,1.44,0.03,0.03
110.775314,33.66861,1.44,0.02,0.02
110.94812,33.667393,1.04,0.02,0.02
111.12117,33.665928,0.55,0.02,0.02
111.294075,33.664223,0.58,0.02,0.02
111.466736,33.66227,0.71,0.02,0.02
111.63985,33.660072,0.79,0.02,0.02
111.81273,33.657635,1.48,0.02,0.02
111.98554,33.65494,1.62,0.02,0.02
112.158585,33.652004,1.34,0.02,0.02
112.331375,33.64883,1.42,0.03,0.03
112.504135,33.64541,2.68,0.03,0.03
112.67693,33.64174,4.71,0.04,0.04
112.84964,33.63783,5.59,0.04,0.04
113.02252,33.633675,5.65,0.05,0.05
113.19525,33.629276,4.25,0.07,0.07
113.36784,33.624626,4.04,0.07,0.07
113.5405,33.61974,4.26,0.07,0.07
113.7132,33.61461,4.43,0.07,0.07
113.8858,33.609226,4.63,0.07,0.07
114.05845,33.603615,4.81,0.07,0.07
114.230965,33.597744,4.8,0.08,0.08
114.40345,33.591644,4.64,0.09,0.09
114.575905,33.585297,4.2,0.09,0.09
114.748344,33.5787,4.31,0.09,0.09
114.92076,33.571865,4.37,0.08,0.08
115.09309,33.56479,4.12,0.07,0.07
115.26537,33.55747,2.7,0.07,0.07
115.43765,33.549908,1.77,0.07,0.07
115.609795,33.542103,1.71,0.08,0.08
115.78201,33.53406,1.43,0.09,0.09
115.95408,33.525772,0.68,0.09,0.09
116.12612,33.517246,0.48,0.1,0.1
116.298065,33.508476,0.49,0.09,0.09
116.47012,33.499462,0.46,0.08,0.08
116.64187,33.490223,0.14,0.05,0.05
116.81374,33.480732,0.08,0.03,0.03
116.985535,33.470993,0.07,0.02,0.02
117.15728,33.461025,0.08,0.01,0.01
117.32885,33.450817,0.09,0.01,0.01
117.50049,33.44037,0.1,0,0
117.67195,33.42968,0.09,0,0
117.84338,33.418755,0.09,0,0
118.014725,33.407593,0.1,0,0
118.18603,33.39619,0.06,0,0
118.35729,33.38454,0.16,0,0
118.52842,33.37267,0.16,0,0
118.699524,33.360554,0.17,0.01,0.01
118.87054,33.348206,0.16,0,0
119.04147,33.33561,0.15,0,0
119.21231,33.322792,0.12,0,0
119.38308,33.30973,0.12,0,0
119.55377,33.296436,0.11,0,0
119.7244,33.282906,0.13,0.02,0.02
119.89492,33.269142,0.14,0.02,0.02
120.06535,33.255142,0.17,0.02,0.02
120.23569,33.24091,0.2,0.03,0.03
120.40598,33.22645,0.2,0.03,0.03
120.57616,33.211746,0.15,0.02,0.02
120.74623,33.196815,0.1,0.02,0.02
120.91622,33.18165,0.08,0.02,0.02
121.08613,33.166252,0.04,0.02,0.02
121.25591,33.15062,0.04,0.02,0.02
121.42562,33.13476,0.03,0.01,0.01
121.59523,33.11867,0.02,0.01,0.01
