lon,lat,uu01,vv01,speed,speed_1
107.493225,33.501385,0.39,0.43,47.81694352,47.81694352
107.66577,33.504803,0.3,0.27,42.00850902,42.00850902
107.83826,33.507984,0.3,0.2,33.70715562,33.70715562
108.01102,33.510925,0.29,0.2,34.6098344,34.6098344
108.1835,33.513607,0.29,0.22,37.20356708,37.20356708
108.35611,33.51605,0.57,0.16,15.687477,15.687477
108.528595,33.518257,1.45,0.14,5.517708834,5.517708834
108.70111,33.52021,1.28,0.13,5.802159076,5.802159076
108.874115,33.521923,1.3,0.13,5.713489633,5.713489633
109.046326,33.523388,1.96,0.11,3.21383904,3.21383904
109.21939,33.524612,1.89,0.09,2.727693818,2.727693818
109.39252,33.525597,1.9,0.05,1.508200352,1.508200352
109.56433,33.52633,1.88,0.04,1.219493466,1.219493466
109.73755,33.52683,1.63,0.02,0.703336985,0.703336985
109.90723,33.52707,1.52,0.02,0.754230696,0.754230696
110.081566,33.527073,1.52,0.03,1.131264454,1.131264454
110.255646,33.52684,1.51,0.03,1.138754307,1.138754307
110.42841,33.526356,1.48,0.03,1.161830907,1.161830907
110.60133,33.52563,1.47,0.02,0.779881688,0.779881688
110.77405,33.52466,1.46,0.02,0.785222677,0.785222677
110.946465,33.52345,1.44,0.02,0.796127155,0.796127155
111.11908,33.521984,1.06,0.02,1.081472447,1.081472447
111.291954,33.520287,1.05,0.02,1.091769706,1.091769706
111.46447,33.518337,0.99,0.02,1.157920084,1.157920084
111.636856,33.516148,1.01,0.02,1.134997026,1.134997026
111.80959,33.513714,1.15,0.03,1.495091539,1.495091539
111.982185,33.511036,1.8,0.02,0.636916465,0.636916465
112.15486,33.50811,1.82,0.03,0.944829392,0.944829392
112.32742,33.504944,1.52,0.03,1.131264454,1.131264454
112.499985,33.501534,2.23,0.03,0.77113968,0.77113968
112.6724,33.497883,4.48,0.04,0.511815335,0.511815335
112.844894,33.493984,4.58,0.05,0.625792179,0.625792179
113.017334,33.48984,4.74,0.05,0.604669986,0.604669986
113.18979,33.485455,4.72,0.06,0.728666356,0.728666356
113.362144,33.480827,3.64,0.06,0.944829392,0.944829392
113.53463,33.475956,3.73,0.06,0.92203588,0.92203588
113.70703,33.470848,4,0.06,0.85980813,0.85980813
113.879295,33.465485,4.33,0.06,0.79428876,0.79428876
114.051544,33.45988,4.54,0.07,0.883793153,0.883793153
114.22383,33.454044,4.59,0.07,0.874167278,0.874167278
114.396194,33.447952,4.7,0.08,0.975647755,0.975647755
114.568275,33.441628,4.48,0.07,0.895627755,0.895627755
114.74029,33.43507,4.52,0.07,0.887703119,0.887703119
114.91243,33.428257,4.58,0.07,0.876075643,0.876075643
115.084465,33.421204,4.64,0.06,0.74122818,0.74122818
115.25647,33.41391,3.4,0.06,1.011509845,1.011509845
115.42846,33.406372,2.29,0.07,1.751742245,1.751742245
115.60039,33.398598,2.2,0.08,2.083621587,2.083621587
115.77225,33.390583,2.2,0.08,2.083621587,2.083621587
115.94403,33.38232,1.09,0.09,4.722531053,4.722531053
116.115814,33.37382,0.57,0.1,9.95567379,9.95567379
