FID,lon,lat,uu01,vv01,speed,speed_1
0,109.90933,34.53462,1.18,0.35,16.52927183,16.52927183
1,110.08393,34.534874,1.16,0.24,11.69529819,11.69529819
2,110.259445,34.534874,1.06,0.15,8.058499762,8.058499762
3,110.43431,34.534626,1.1,0.12,6.228986895,6.228986895
4,110.60813,34.53414,0.98,0.1,5.829297235,5.829297235
5,110.78335,34.53341,0.72,0.12,9.467121635,9.467121635
6,110.957565,34.532417,0.74,0.12,9.215698507,9.215698507
7,111.13264,34.53117,1.24,0.13,5.98798797,5.98798797
8,111.307465,34.529682,2.23,0.17,4.361618999,4.361618999
9,111.482,34.527935,3.23,0.17,3.014315634,3.014315634
10,111.65682,34.525944,4.05,0.13,1.839425052,1.839425052
11,111.83152,34.5237,3.71,0.09,1.390356867,1.390356867
12,112.006134,34.521194,1.7,0.06,2.022390206,2.022390206
13,112.180954,34.51845,1.52,0.05,1.885005849,1.885005849
14,112.355515,34.51545,1.84,0.05,1.557356985,1.557356985
15,112.530106,34.512207,3.74,0.06,0.919570967,0.919570967
16,112.704796,34.508713,6.8,0.06,0.505794293,0.505794293
17,112.879295,34.50496,8.44,0.06,0.4075157,0.4075157
18,113.05384,34.50097,8.49,0.05,0.337598222,0.337598222
19,113.22841,34.496716,8.61,0.06,0.399469776,0.399469776
20,113.40283,34.49222,8.41,0.07,0.477127966,0.477127966
21,113.57731,34.487476,8.27,0.09,0.62382491,0.62382491
22,113.751816,34.482483,7.54,0.09,0.684216269,0.684216269
23,113.926056,34.477238,6.92,0.1,0.828335996,0.828335996
24,114.10046,34.471752,6.78,0.11,0.929967448,0.929967448
25,114.27471,34.466007,6.58,0.11,0.958228748,0.958228748
26,114.449066,34.460014,5.68,0.12,1.210908048,1.210908048
27,114.62326,34.45378,4.62,0.12,1.488622197,1.488622197
28,114.79747,34.447296,4.22,0.12,1.629651104,1.629651104
29,114.97166,34.44056,3.56,0.07,1.127028602,1.127028602
30,109.90723,34.67885,1.14,0.26,12.8542214,12.8542214
31,110.08393,34.678852,1.21,0.28,13.0358034,13.0358034
32,110.26019,34.67862,1.16,0.31,14.96974428,14.96974428
33,110.43386,34.678135,1.12,0.25,12.58934476,12.58934476
34,110.60909,34.677387,1.2,0.27,12.68681517,12.68681517
35,110.78435,34.6764,1.55,0.19,6.992034393,6.992034393
36,110.959816,34.675148,1.91,0.18,5.386432368,5.386432368
37,111.134705,34.673653,2.54,0.19,4.280107387,4.280107387
38,111.310005,34.671894,3.81,0.24,3.606248754,3.606248754
39,111.4849,34.66989,5.72,0.23,2.303778752,2.303778752
40,111.65965,34.66764,5.6,0.18,1.841949997,1.841949997
41,111.83462,34.665134,3.22,0.12,2.13534129,2.13534129
42,112.00974,34.662384,3.06,0.09,1.685538814,1.685538814
43,112.184715,34.659367,3.22,0.08,1.423926717,1.423926717
44,112.359665,34.65611,4.4,0.07,0.911909174,0.911909174
45,112.53451,34.652603,6.84,0.08,0.670435404,0.670435404
46,112.70935,34.648838,8.89,0.07,0.451367371,0.451367371
47,112.88432,34.644825,9.77,0.07,0.410713428,0.410713428
48,113.05903,34.64057,10.05,0.07,0.399271041,0.399271041
49,113.233864,34.63605,9.77,0.08,0.469384316,0.469384316
50,113.40876,34.63129,9.51,0.1,0.602762651,0.602762651
51,113.583595,34.626278,8.58,0.1,0.668091437,0.668091437
52,113.75828,34.621017,7.6,0.11,0.829643713,0.829643713
53,113.93294,34.615505,7.15,0.11,0.881851057,0.881851057
54,114.10761,34.60974,6.92,0.11,0.911156279,0.911156279
55,114.28222,34.603733,5.83,0.11,1.081472447,1.081472447
56,114.456726,34.597477,4.9,0.11,1.286668068,1.286668068
57,114.631386,34.590965,4.33,0.09,1.191337849,1.191337849
58,114.80588,34.584206,3.65,0.04,0.628192286,0.628192286
59,114.98024,34.577198,3.09,0,0,0
60,115.15458,34.56995,1.8,0,0,0
61,115.328964,34.562443,0.37,0,0,0
62,109.90933,34.822838,1.38,0.29,11.87375138,11.87375138
63,110.08393,34.822613,1.37,0.29,11.95793729,11.95793729
64,110.259445,34.82212,1.79,0.27,8.582067267,8.582067267
65,110.43566,34.82138,1.93,0.29,8.549616186,8.549616186
66,110.610054,34.820377,2.44,0.21,4.921567408,4.921567408
67,110.78609,34.819134,2.86,0.21,4.201626486,4.201626486
68,110.961235,34.817627,4.74,0.21,2.538048421,2.538048421
69,111.136604,34.815865,7.22,0.26,2.0634378,2.0634378
70,111.311646,34.81385,9.26,0.27,1.670985207,1.670985207
71,111.48754,34.81159,9.63,0.28,1.666296421,1.666296421
72,111.6626,34.809074,9.42,0.24,1.460189609,1.460189609
73,111.837814,34.80631,6.9,0.21,1.744130684,1.744130684
74,112.013145,34.803288,5.18,0.15,1.659521982,1.659521982
75,112.18857,34.80002,5.35,0.09,0.964252163,0.964252163
76,112.363556,34.796494,6.29,0.09,0.820172278,0.820172278
77,112.53891,34.792717,8.13,0.08,0.564063869,0.564063869
78,112.71419,34.788692,9.37,0.1,0.611768031,0.611768031
79,112.889206,34.784416,10.41,0.12,0.660775814,0.660775814
80,113.06446,34.77989,10.16,0.1,0.564202655,0.564202655
81,113.23961,34.77511,9.98,0.11,0.631811338,0.631811338
82,113.41473,34.770073,9.28,0.11,0.679465214,0.679465214
83,113.58976,34.764793,8.08,0.11,0.780364228,0.780364228
84,113.76473,34.759262,7.51,0.12,0.915898207,0.915898207
85,113.93985,34.75348,7.19,0.12,0.956654003,0.956654003
86,114.11481,34.747448,6.06,0.11,1.040435654,1.040435654
87,114.28971,34.74117,5.14,0.1,1.115128595,1.115128595
88,114.46463,34.73464,4.54,0.05,0.631305322,0.631305322
89,114.63942,34.727848,3.87,0,0,0
90,114.81426,34.72082,3.29,0,0,0
91,114.98893,34.71354,1.47,0,0,0
92,115.16369,34.70601,0.11,0,0,0
93,119.338844,34.451168,0.01,0,0,0
94,119.51193,34.437492,0.05,0,0,0
95,109.90933,34.96685,1.68,0.2,6.792418041,6.792418041
96,110.08393,34.966625,1.92,0.13,3.875454415,3.875454415
97,110.25869,34.96613,3.44,0.17,2.830610837,2.830610837
98,110.43566,34.965374,5.78,0.2,1.982767432,1.982767432
99,110.61166,34.96437,6.87,0.17,1.418229195,1.418229195
