FID,lon,lat,speed3,speed3_3
0,109.90933,34.53462,-7.640406891,-7.640406891
1,110.08393,34.534874,-19.47657583,-19.47657583
2,110.259445,34.534874,-52.39400954,-52.39400954
3,110.43431,34.534626,-63.88608846,-63.88608846
4,110.60813,34.53414,-53.6156491,-53.6156491
5,110.78335,34.53341,-51.78304974,-51.78304974
6,110.957565,34.532417,-55.85010558,-55.85010558
7,111.13264,34.53117,-62.02052667,-62.02052667
8,111.307465,34.529682,-68.87528203,-68.87528203
9,111.482,34.527935,-78.69006887,-78.69006887
10,111.65682,34.525944,-89.76803608,-89.76803608
11,111.83152,34.5237,-102.7020243,-102.7020243
12,112.006134,34.521194,-115.2618131,-115.2618131
13,112.180954,34.51845,-120.3183555,-120.3183555
14,112.355515,34.51545,-120.9637586,-120.9637586
15,112.530106,34.512207,-121.2488099,-121.2488099
16,112.704796,34.508713,-120.5448148,-120.5448148
17,112.879295,34.50496,-119.9031586,-119.9031586
18,113.05384,34.50097,-120.1657262,-120.1657262
19,113.22841,34.496716,-120.8316648,-120.8316648
20,113.40283,34.49222,-122.4784774,-122.4784774
21,113.57731,34.487476,-123.6900696,-123.6900696
22,113.751816,34.482483,-124.8824553,-124.8824553
23,113.926056,34.477238,-125.7287776,-125.7287776
24,114.10046,34.471752,-126.1429347,-126.1429347
25,114.27471,34.466007,-126.3886025,-126.3886025
26,114.449066,34.460014,-126.6446495,-126.6446495
27,114.62326,34.45378,-126.7653456,-126.7653456
28,114.79747,34.447296,-126.9765957,-126.9765957
29,114.97166,34.44056,-127.3698124,-127.3698124
30,109.90723,34.67885,-3.539559229,-3.539559229
31,110.08393,34.678852,-22.61986533,-22.61986533
32,110.26019,34.67862,-28.8309688,-28.8309688
33,110.43386,34.678135,-26.89623742,-26.89623742
34,110.60909,34.677387,-31.78725366,-31.78725366
35,110.78435,34.6764,-41.88656197,-41.88656197
36,110.959816,34.675148,-51.18293104,-51.18293104
37,111.134705,34.673653,-58.43818916,-58.43818916
38,111.310005,34.671894,-69.75854872,-69.75854872
39,111.4849,34.66989,-82.58135135,-82.58135135
40,111.65965,34.66764,-93.81407643,-93.81407643
41,111.83462,34.665134,-104.34574,-104.34574
42,112.00974,34.662384,-111.3757799,-111.3757799
43,112.184715,34.659367,-114.5936026,-114.5936026
44,112.359665,34.65611,-117.1686331,-117.1686331
45,112.53451,34.652603,-118.6025588,-118.6025588
46,112.70935,34.648838,-120.051275,-120.051275
47,112.88432,34.644825,-121.5774499,-121.5774499
48,113.05903,34.64057,-123.1408459,-123.1408459
49,113.233864,34.63605,-125.0722072,-125.0722072
50,113.40876,34.63129,-126.3162483,-126.3162483
51,113.583595,34.626278,-127.5685942,-127.5685942
52,113.75828,34.621017,-128.2033937,-128.2033937
53,113.93294,34.615505,-128.5139457,-128.5139457
54,114.10761,34.60974,-128.6299378,-128.6299378
55,114.28222,34.603733,-128.8279673,-128.8279673
56,114.456726,34.597477,-128.6598104,-128.6598104
57,114.631386,34.590965,-128.8200779,-128.8200779
58,114.80588,34.584206,-129.1345361,-129.1345361
59,114.98024,34.577198,-129.5062393,-129.5062393
60,115.15458,34.56995,-129.5560409,-129.5560409
61,115.328964,34.562443,-129.4068023,-129.4068023
62,115.50339,34.554688,-129.0883156,-129.0883156
63,115.67769,34.546684,-128.9694159,-128.9694159
64,115.85184,34.53844,-128.6041655,-128.6041655
65,116.02604,34.52995,-128.2852111,-128.2852111
66,116.20005,34.521206,-128.3246423,-128.3246423
67,116.37413,34.512222,-128.3096637,-128.3096637
68,116.54817,34.50298,-128.2227246,-128.2227246
69,116.72202,34.493496,-127.9760365,-127.9760365
70,116.89587,34.483772,-128.5900439,-128.5900439
71,117.069695,34.473793,-129.8055733,-129.8055733
72,117.24344,34.463573,-131.2943114,-131.2943114
73,117.4171,34.453106,-132.9003389,-132.9003389
74,117.59068,34.442394,-133.5679061,-133.5679061
75,109.90933,34.822838,1.697156219,1.697156219
76,110.08393,34.822613,-4.112228915,-4.112228915
77,110.259445,34.82212,-10.64061988,-10.64061988
78,110.43566,34.82138,-20.43895626,-20.43895626
79,110.610054,34.820377,-31.07904017,-31.07904017
80,110.78609,34.819134,-39.14398708,-39.14398708
81,110.961235,34.817627,-47.62640645,-47.62640645
82,111.136604,34.815865,-60.15954721,-60.15954721
83,111.311646,34.81385,-72.60248835,-72.60248835
84,111.48754,34.81159,-83.56308082,-83.56308082
85,111.6626,34.809074,-91.05311419,-91.05311419
86,111.837814,34.80631,-99.64339349,-99.64339349
87,112.013145,34.803288,-106.3168687,-106.3168687
88,112.18857,34.80002,-112.0069191,-112.0069191
89,112.363556,34.796494,-116.6541601,-116.6541601
90,112.53891,34.792717,-119.7562245,-119.7562245
91,112.71419,34.788692,-122.4447053,-122.4447053
92,112.889206,34.784416,-125.1215889,-125.1215889
93,113.06446,34.77989,-128.0166315,-128.0166315
94,113.23961,34.77511,-129.3517548,-129.3517548
95,113.41473,34.770073,-130.7065715,-130.7065715
96,113.58976,34.764793,-131.3329584,-131.3329584
97,113.76473,34.759262,-131.647595,-131.647595
98,113.93985,34.75348,-131.669736,-131.669736
99,114.11481,34.747448,-132.0270912,-132.0270912
100,114.28971,34.74117,-131.7182872,-131.7182872
101,114.46463,34.73464,-131.8164168,-131.8164168
102,114.63942,34.727848,-131.0740945,-131.0740945
103,114.81426,34.72082,-131.2994592,-131.2994592
104,114.98893,34.71354,-131.1276507,-131.1276507
105,115.16369,34.70601,-130.4622297,-130.4622297
106,115.33836,34.69823,-130.0302615,-130.0302615
107,115.51296,34.690205,-129.5897981,-129.5897981
108,115.687515,34.681923,-129.0716168,-129.0716168
109,115.86201,34.673405,-128.6416098,-128.6416098
110,116.036446,34.66463,-128.8961928,-128.8961928
