FID,lon,lat,pm02,pm02_1
0,109.90933,34.53462,14.32,14.32
1,110.08393,34.534874,14.65,14.65
2,110.259445,34.534874,12.93,12.93
3,110.43431,34.534626,11.51,11.51
4,110.60813,34.53414,11.58,11.58
5,110.78335,34.53341,12.26,12.26
6,110.957565,34.532417,12.8,12.8
7,111.13264,34.53117,13.61,13.61
8,111.307465,34.529682,16.62,16.62
9,111.482,34.527935,19.73,19.73
10,111.65682,34.525944,26.2,26.2
11,111.83152,34.5237,28.31,28.31
12,112.006134,34.521194,24.66,24.66
13,112.180954,34.51845,23.08,23.08
14,112.355515,34.51545,21.65,21.65
15,112.530106,34.512207,20.92,20.92
16,112.704796,34.508713,21.64,21.64
17,112.879295,34.50496,24.43,24.43
18,113.05384,34.50097,25.35,25.35
19,113.22841,34.496716,26.93,26.93
20,113.40283,34.49222,24.55,24.55
21,113.57731,34.487476,23.31,23.31
22,113.751816,34.482483,23.1,23.1
23,113.926056,34.477238,22.76,22.76
24,114.10046,34.471752,21.29,21.29
25,114.27471,34.466007,20.07,20.07
26,114.449066,34.460014,18.8,18.8
27,114.62326,34.45378,17.54,17.54
28,114.79747,34.447296,17.07,17.07
29,114.97166,34.44056,17.8,17.8
30,109.90723,34.67885,15.63,15.63
31,110.08393,34.678852,14.67,14.67
32,110.26019,34.67862,13.59,13.59
33,110.43386,34.678135,14.2,14.2
34,110.60909,34.677387,13.91,13.91
35,110.78435,34.6764,13.49,13.49
36,110.959816,34.675148,14.06,14.06
37,111.134705,34.673653,16.85,16.85
38,111.310005,34.671894,19.55,19.55
39,111.4849,34.66989,23.97,23.97
40,111.65965,34.66764,26.44,26.44
41,111.83462,34.665134,24.38,24.38
42,112.00974,34.662384,23.52,23.52
43,112.184715,34.659367,21.48,21.48
44,112.359665,34.65611,21.28,21.28
45,112.53451,34.652603,22.34,22.34
46,112.70935,34.648838,26.09,26.09
47,112.88432,34.644825,28.06,28.06
48,113.05903,34.64057,29,29
49,113.233864,34.63605,26,26
50,113.40876,34.63129,25.11,25.11
51,113.583595,34.626278,24.81,24.81
52,113.75828,34.621017,23.66,23.66
53,113.93294,34.615505,22.64,22.64
54,114.10761,34.60974,21.31,21.31
55,114.28222,34.603733,20.51,20.51
56,114.456726,34.597477,17.78,17.78
57,114.631386,34.590965,17.53,17.53
58,114.80588,34.584206,17.66,17.66
59,114.98024,34.577198,19.54,19.54
60,115.15458,34.56995,20.7,20.7
61,115.328964,34.562443,21.38,21.38
62,115.50339,34.554688,22.36,22.36
63,115.67769,34.546684,21.6,21.6
64,115.85184,34.53844,20.73,20.73
65,116.02604,34.52995,18.62,18.62
66,116.20005,34.521206,17.38,17.38
67,116.37413,34.512222,16.87,16.87
68,116.54817,34.50298,15.81,15.81
69,116.72202,34.493496,14.26,14.26
70,116.89587,34.483772,12.58,12.58
71,117.069695,34.473793,12.09,12.09
72,117.24344,34.463573,11.45,11.45
73,117.4171,34.453106,10.62,10.62
74,117.59068,34.442394,9.41,9.41
75,109.90933,34.822838,17.52,17.52
76,110.08393,34.822613,18.84,18.84
77,110.259445,34.82212,17.61,17.61
78,110.43566,34.82138,14.97,14.97
79,110.610054,34.820377,13.47,13.47
80,110.78609,34.819134,13.73,13.73
81,110.961235,34.817627,13.84,13.84
82,111.136604,34.815865,14.23,14.23
83,111.311646,34.81385,14.85,14.85
84,111.48754,34.81159,16.32,16.32
85,111.6626,34.809074,18,18
86,111.837814,34.80631,21.34,21.34
87,112.013145,34.803288,22.15,22.15
88,112.18857,34.80002,24.78,24.78
89,112.363556,34.796494,25.6,25.6
90,112.53891,34.792717,30.34,30.34
91,112.71419,34.788692,31.33,31.33
92,112.889206,34.784416,29.94,29.94
93,113.06446,34.77989,26.28,26.28
94,113.23961,34.77511,25.49,25.49
95,113.41473,34.770073,25.68,25.68
96,113.58976,34.764793,24.59,24.59
97,113.76473,34.759262,24.09,24.09
98,113.93985,34.75348,22.94,22.94
99,114.11481,34.747448,21.83,21.83
100,114.28971,34.74117,19.38,19.38
101,114.46463,34.73464,18.42,18.42
102,114.63942,34.727848,18.47,18.47
103,114.81426,34.72082,19.45,19.45
104,114.98893,34.71354,20.65,20.65
105,115.16369,34.70601,21.48,21.48
106,115.33836,34.69823,22.47,22.47
107,115.51296,34.690205,21.51,21.51
108,115.687515,34.681923,19.37,19.37
109,115.86201,34.673405,18.29,18.29
110,116.036446,34.66463,15.58,15.58
111,116.21092,34.655605,12.85,12.85
112,116.385284,34.646336,12.26,12.26
113,116.559456,34.636826,12.29,12.29
114,116.73374,34.62706,11.9,11.9
115,116.90788,34.61705,11.23,11.23
116,117.08198,34.6068,10.95,10.95
117,117.25597,34.596287,10.27,10.27
118,117.42999,34.585545,9.27,9.27
119,117.60391,34.574554,7.62,7.62
120,117.77774,34.56331,6.32,6.32
121,117.951454,34.551826,5.9,5.9
122,118.12512,34.540096,5.45,5.45
123,118.2988,34.528122,4.96,4.96
124,118.4723,34.515907,4.67,4.67
125,118.6458,34.503445,4.33,4.33
126,118.81914,34.490738,3.97,3.97
127,118.99246,34.477795,3.61,3.61
128,119.16571,34.4646,3.27,3.27
129,119.338844,34.451168,3.02,3.02
130,119.51193,34.437492,2.72,2.72
131,109.90933,34.96685,22.11,22.11
132,110.08393,34.966625,18.24,18.24
133,110.25869,34.96613,14.57,14.57
134,110.43566,34.965374,14.05,14.05
135,110.61166,34.96437,13.73,13.73
136,110.78709,34.963108,12.97,12.97
137,110.96287,34.961594,12.45,12.45
138,111.13884,34.959827,12.83,12.83
139,111.31433,34.957817,14.05,14.05
140,111.48991,34.955536,16.99,16.99
141,111.66566,34.95301,21.82,21.82
142,111.84122,34.950233,24.79,24.79
143,112.01684,34.9472,30.24,30.24
144,112.192406,34.943924,30.48,30.48
145,112.367775,34.940384,34.17,34.17
146,112.54337,34.936596,33.01,33.01
147,112.71902,34.932556,29.88,29.88
148,112.894485,34.92826,26.4,26.4
149,113.069824,34.923717,25.79,25.79
150,113.245285,34.918922,25.36,25.36
151,113.4208,34.91387,24.31,24.31
152,113.59619,34.908577,24.19,24.19
153,113.77133,34.903023,23.3,23.3
154,113.9467,34.897224,21.61,21.61
155,114.12194,34.891167,20.87,20.87
156,114.29729,34.88486,19.92,19.92
157,114.47243,34.878304,20.14,20.14
158,114.6476,34.871494,20.64,20.64
159,114.82268,34.86444,22.14,22.14
160,114.99768,34.85714,23.02,23.02
161,115.17275,34.84958,23.73,23.73
162,115.34768,34.84177,21.92,21.92
163,115.52258,34.83371,19.61,19.61
164,115.697395,34.825405,18.2,18.2
165,115.87227,34.816853,15.46,15.46
166,116.04705,34.80805,13.63,13.63
167,116.22174,34.798996,12.64,12.64
168,116.39633,34.789696,12.25,12.25
169,116.57089,34.780144,11.56,11.56
170,116.745445,34.770348,10.83,10.83
171,116.91988,34.7603,10.37,10.37
172,117.094376,34.750008,9.75,9.75
173,117.268715,34.73947,8.38,8.38
174,117.442924,34.728683,6.63,6.63
175,117.617165,34.717655,5.65,5.65
176,117.79123,34.706367,5.33,5.33
177,117.96536,34.694847,5.5,5.5
178,118.13927,34.68308,5.1,5.1
179,118.313194,34.67106,4.71,4.71
180,118.48705,34.6588,4,4
181,118.660805,34.646294,3.46,3.46
182,118.834496,34.633545,3.16,3.16
183,119.008095,34.620556,2.95,2.95
184,119.1816,34.60732,2.71,2.71
185,119.355034,34.593834,2.59,2.59
186,119.52839,34.58012,2.31,2.31
187,119.701546,34.566147,1.85,1.85
188,119.87481,34.55194,1.17,1.17
189,120.04787,34.537495,0.72,0.72
190,120.22082,34.522804,0.49,0.49
191,120.393745,34.507877,0.32,0.32
192,120.56655,34.492706,0.49,0.49
193,120.73928,34.477287,0.62,0.62
194,120.911896,34.461636,0.55,0.55
195,121.08444,34.445747,0.24,0.24
196,109.90723,35.110924,22.64,22.64
197,110.09065,35.110645,18.38,18.38
198,110.261696,35.110134,14.99,14.99
199,110.43656,35.10937,13.76,13.76
200,110.6123,35.108356,12.37,12.37
201,110.788826,35.10709,10.81,10.81
202,110.9649,35.105568,11.14,11.14
203,111.14038,35.103794,11.45,11.45
204,111.31671,35.10177,13.37,13.37
205,111.49253,35.099487,15.79,15.79
206,111.66824,35.096954,19.66,19.66
207,111.8443,35.094166,22.5,22.5
208,112.02023,35.09112,29.62,29.62
209,112.19598,35.08783,31.2,31.2
210,112.371994,35.08428,31.29,31.29
211,112.54776,35.080475,30.44,30.44
212,112.72362,35.07642,29.29,29.29
213,112.89935,35.072113,26.48,26.48
214,113.07511,35.067554,25.39,25.39
215,113.250885,35.062737,24.28,24.28
216,113.42669,35.057674,23.82,23.82
217,113.60245,35.052353,23.62,23.62
218,113.77798,35.04678,23.06,23.06
219,113.95359,35.040955,21.89,21.89
220,114.12925,35.034885,22.27,22.27
221,114.30471,35.028553,22.09,22.09
222,114.48026,35.021976,21.27,21.27
223,114.655685,35.01514,20.78,20.78
224,114.83112,35.00806,22.54,22.54
225,115.006454,35.00073,23.71,23.71
226,115.18176,34.99315,24.88,24.88
227,115.357086,34.985313,24.5,24.5
228,115.532265,34.977226,20.19,20.19
229,115.707466,34.968887,17.51,17.51
230,115.88261,34.960304,15.57,15.57
231,116.05765,34.95147,14.46,14.46
232,116.2326,34.94238,13.46,13.46
233,116.40751,34.93305,12.59,12.59
234,116.582466,34.923466,11.45,11.45
235,116.75726,34.91363,10.05,10.05
236,116.93204,34.903553,9.07,9.07
237,117.10675,34.893223,7.92,7.92
238,117.28134,34.88265,6.84,6.84
239,117.45591,34.871822,5.95,5.95
240,117.63042,34.86075,4.08,4.08
241,117.8049,34.849426,3.33,3.33
242,117.979225,34.837864,3.25,3.25
243,118.153465,34.826057,3.43,3.43
244,118.32766,34.814,3.49,3.49
245,118.50185,34.801693,3.33,3.33
246,118.67592,34.78914,3.02,3.02
247,118.84987,34.776352,2.69,2.69
248,119.02374,34.76331,2.52,2.52
249,119.19758,34.750027,2.26,2.26
250,119.37124,34.736504,2.07,2.07
251,119.54492,34.722725,2.02,2.02
252,119.71851,34.708714,1.82,1.82
253,119.89196,34.694466,1.35,1.35
254,120.06528,34.67996,0.76,0.76
255,120.23865,34.66522,0.49,0.49
256,120.411766,34.65023,0.26,0.26
257,120.5849,34.635006,0.36,0.36
258,120.75787,34.619545,0.45,0.45
259,120.930786,34.603836,0.39,0.39
260,121.10359,34.58789,0.17,0.17
261,121.276276,34.571712,0.09,0.09
262,121.448875,34.55528,0.05,0.05
263,121.62138,34.538616,0.03,0.03
264,121.79381,34.521717,0.02,0.02
265,121.966064,34.504578,0.01,0.01
266,122.13826,34.4872,0.01,0.01
267,122.31034,34.469593,0.01,0.01
268,122.48229,34.45174,0.01,0.01
269,122.654144,34.43366,17.92,17.92
270,109.91376,35.25491,22.5,22.5
271,110.07913,35.254917,20.43,20.43
272,110.261696,35.254646,15.4,15.4
273,110.437454,35.25413,12.41,12.41
274,110.61389,35.253365,10.34,10.34
275,110.79031,35.252346,10.65,10.65
276,110.966515,35.251072,11.1,11.1
277,111.14295,35.24954,11.42,11.42
278,111.31864,35.247765,12.24,12.24
279,111.49541,35.245724,14.52,14.52
280,111.6714,35.243435,18.37,18.37
281,111.847694,35.240894,18.89,18.89
282,112.02391,35.23809,19.91,19.91
283,112.20016,35.23504,26.54,26.54
284,112.3762,35.23173,29.11,29.11
285,112.55237,35.22817,30.67,30.67
286,112.728645,35.224358,31.47,31.47
287,112.90455,35.220287,28.59,28.59
288,113.0807,35.215958,26.15,26.15
289,113.25672,35.211388,24.43,24.43
290,113.43279,35.20655,23.72,23.72
291,113.60864,35.201466,22.64,22.64
292,113.78465,35.19613,22.52,22.52
293,113.96057,35.190536,21.97,21.97
294,114.13654,35.184692,22.79,22.79
295,114.3123,35.178596,22.76,22.76
296,114.48817,35.172245,21.23,21.23
297,114.66389,35.165646,20.78,20.78
298,114.83959,35.158787,20.96,20.96
299,115.01529,35.15168,24.37,24.37
300,115.1909,35.14432,26.73,26.73
301,115.36641,35.13671,27.27,27.27
302,115.542,35.12885,20.88,20.88
303,115.71752,35.120735,17.38,17.38
304,115.89289,35.112366,16.21,16.21
305,116.06825,35.103752,14.21,14.21
