FID,lon,lat,pm03
0,109.90933,34.53462,12.82
1,110.08393,34.534874,12.5
2,110.259445,34.534874,11.01
3,110.43431,34.534626,9.54
4,110.60813,34.53414,9.82
5,110.78335,34.53341,11.43
6,110.957565,34.532417,13.98
7,111.13264,34.53117,16.29
8,111.307465,34.529682,20.42
9,111.482,34.527935,27.1
10,111.65682,34.525944,30.07
11,111.83152,34.5237,25.88
12,112.006134,34.521194,22.78
13,112.180954,34.51845,16.48
14,112.355515,34.51545,13.26
15,112.530106,34.512207,9.94
16,112.704796,34.508713,8.97
17,112.879295,34.50496,9.35
18,113.05384,34.50097,8.81
19,113.22841,34.496716,8.03
20,113.40283,34.49222,6.56
21,113.57731,34.487476,6.53
22,113.751816,34.482483,5.82
23,113.926056,34.477238,5.69
24,114.10046,34.471752,5.54
25,114.27471,34.466007,5.64
26,114.449066,34.460014,5.58
27,114.62326,34.45378,6.18
28,114.79747,34.447296,6.34
29,114.97166,34.44056,6.96
30,109.90723,34.67885,13.47
31,110.08393,34.678852,12.76
32,110.26019,34.67862,11.79
33,110.43386,34.678135,12.86
34,110.60909,34.677387,14.98
35,110.78435,34.6764,17.79
36,110.959816,34.675148,19.81
37,111.134705,34.673653,21.69
38,111.310005,34.671894,23.86
39,111.4849,34.66989,25.3
40,111.65965,34.66764,22.65
41,111.83462,34.665134,19.79
42,112.00974,34.662384,14.59
43,112.184715,34.659367,12.2
44,112.359665,34.65611,8.7
45,112.53451,34.652603,7.25
46,112.70935,34.648838,6.93
47,112.88432,34.644825,4.9
48,113.05903,34.64057,4.38
49,113.233864,34.63605,3.82
50,113.40876,34.63129,3.41
51,113.583595,34.626278,3.14
52,113.75828,34.621017,3.52
53,113.93294,34.615505,4.63
54,114.10761,34.60974,4.78
55,114.28222,34.603733,4.75
56,114.456726,34.597477,4.96
57,114.631386,34.590965,4.76
58,114.80588,34.584206,5.33
59,114.98024,34.577198,5.77
60,115.15458,34.56995,6.31
61,115.328964,34.562443,8
62,115.50339,34.554688,10.12
63,115.67769,34.546684,10.82
64,115.85184,34.53844,10.05
65,116.02604,34.52995,9.32
66,116.20005,34.521206,8.32
67,116.37413,34.512222,7.41
68,116.54817,34.50298,6.55
69,116.72202,34.493496,6.39
70,116.89587,34.483772,6.39
71,117.069695,34.473793,6.93
72,117.24344,34.463573,7.42
73,117.4171,34.453106,7.17
74,117.59068,34.442394,6.68
75,109.90933,34.822838,12.92
76,110.08393,34.822613,12.15
77,110.259445,34.82212,13.51
78,110.43566,34.82138,15.85
79,110.610054,34.820377,17.6
80,110.78609,34.819134,18.55
81,110.961235,34.817627,18.96
82,111.136604,34.815865,20.32
83,111.311646,34.81385,21.32
84,111.48754,34.81159,21.71
85,111.6626,34.809074,19.24
86,111.837814,34.80631,14.44
87,112.013145,34.803288,10.05
88,112.18857,34.80002,7.34
89,112.363556,34.796494,5.93
90,112.53891,34.792717,5.24
91,112.71419,34.788692,3.96
92,112.889206,34.784416,3.47
93,113.06446,34.77989,3.06
94,113.23961,34.77511,2.91
95,113.41473,34.770073,2.76
96,113.58976,34.764793,3.05
97,113.76473,34.759262,3.03
98,113.93985,34.75348,3
99,114.11481,34.747448,3.01
100,114.28971,34.74117,3.29
101,114.46463,34.73464,3.24
102,114.63942,34.727848,3.57
103,114.81426,34.72082,3.56
104,114.98893,34.71354,4.01
105,115.16369,34.70601,5.31
106,115.33836,34.69823,6.32
107,115.51296,34.690205,6.42
108,115.687515,34.681923,5.61
109,115.86201,34.673405,5.02
110,116.036446,34.66463,4.28
111,116.21092,34.655605,3.2
112,116.385284,34.646336,2.4
113,116.559456,34.636826,2.62
114,116.73374,34.62706,2.78
115,116.90788,34.61705,2.72
116,117.08198,34.6068,2.73
117,117.25597,34.596287,2.7
118,117.42999,34.585545,2.21
119,117.60391,34.574554,2.08
120,117.77774,34.56331,2.41
121,117.951454,34.551826,2.7
122,118.12512,34.540096,2.38
123,118.2988,34.528122,1.82
124,118.4723,34.515907,1.41
125,118.6458,34.503445,1.22
126,118.81914,34.490738,1.3
127,118.99246,34.477795,1.3
128,119.16571,34.4646,1.37
129,119.338844,34.451168,1.45
130,119.51193,34.437492,1.44
131,109.90933,34.96685,12.46
132,110.08393,34.966625,13.26
133,110.25869,34.96613,15.13
134,110.43566,34.965374,16.91
135,110.61166,34.96437,18.34
136,110.78709,34.963108,18.32
137,110.96287,34.961594,19.85
138,111.13884,34.959827,21.09
139,111.31433,34.957817,21.4
140,111.48991,34.955536,21.27
141,111.66566,34.95301,14.3
142,111.84122,34.950233,10.19
143,112.01684,34.9472,8.15
144,112.192406,34.943924,6.14
145,112.367775,34.940384,5.74
146,112.54337,34.936596,4.31
147,112.71902,34.932556,3.49
148,112.894485,34.92826,3.05
149,113.069824,34.923717,2.95
150,113.245285,34.918922,2.74
151,113.4208,34.91387,2.54
152,113.59619,34.908577,2.54
153,113.77133,34.903023,2.54
154,113.9467,34.897224,2.59
155,114.12194,34.891167,2.69
156,114.29729,34.88486,2.76
157,114.47243,34.878304,2.97
158,114.6476,34.871494,3.06
159,114.82268,34.86444,3.47
160,114.99768,34.85714,4.09
161,115.17275,34.84958,4.31
162,115.34768,34.84177,4.13
163,115.52258,34.83371,4.48
164,115.697395,34.825405,4.17
165,115.87227,34.816853,3.45
166,116.04705,34.80805,2.46
167,116.22174,34.798996,1.94
168,116.39633,34.789696,1.95
169,116.57089,34.780144,2.05
170,116.745445,34.770348,2.53
171,116.91988,34.7603,2.63
172,117.094376,34.750008,2.59
173,117.268715,34.73947,2.11
174,117.442924,34.728683,2
175,117.617165,34.717655,1.99
176,117.79123,34.706367,2.12
177,117.96536,34.694847,2.15
178,118.13927,34.68308,1.75
179,118.313194,34.67106,1.32
180,118.48705,34.6588,1.07
181,118.660805,34.646294,0.95
182,118.834496,34.633545,0.89
183,119.008095,34.620556,0.9
184,119.1816,34.60732,0.87
185,119.355034,34.593834,0.96
186,119.52839,34.58012,0.95
187,119.701546,34.566147,0.95
188,119.87481,34.55194,1.04
189,120.04787,34.537495,1.13
190,120.22082,34.522804,1.17
191,120.393745,34.507877,1.28
192,120.56655,34.492706,1.38
193,120.73928,34.477287,1.4
194,120.911896,34.461636,1.36
195,121.08444,34.445747,1.37
196,109.90723,35.110924,11.15
197,110.09065,35.110645,11.19
198,110.261696,35.110134,13.57
199,110.43656,35.10937,15.27
200,110.6123,35.108356,16.92
201,110.788826,35.10709,16.74
202,110.9649,35.105568,16.63
203,111.14038,35.103794,16.03
204,111.31671,35.10177,12.48
205,111.49253,35.099487,7.86
206,111.66824,35.096954,6.62
207,111.8443,35.094166,6.3
208,112.02023,35.09112,5.36
209,112.19598,35.08783,4.96
210,112.371994,35.08428,4.99
211,112.54776,35.080475,4.97
212,112.72362,35.07642,3.88
213,112.89935,35.072113,3.48
214,113.07511,35.067554,3.25
215,113.250885,35.062737,3.21
216,113.42669,35.057674,3.06
217,113.60245,35.052353,2.92
218,113.77798,35.04678,2.84
219,113.95359,35.040955,2.8
220,114.12925,35.034885,2.93
221,114.30471,35.028553,2.94
222,114.48026,35.021976,3.03
223,114.655685,35.01514,3.23
224,114.83112,35.00806,3.87
225,115.006454,35.00073,4.11
226,115.18176,34.99315,4.17
227,115.357086,34.985313,3.56
228,115.532265,34.977226,3.49
229,115.707466,34.968887,2.62
230,115.88261,34.960304,2.22
231,116.05765,34.95147,2.07
232,116.2326,34.94238,1.84
233,116.40751,34.93305,1.91
234,116.582466,34.923466,2.06
235,116.75726,34.91363,2.48
236,116.93204,34.903553,2.61
237,117.10675,34.893223,2.53
238,117.28134,34.88265,2.06
239,117.45591,34.871822,1.98
240,117.63042,34.86075,1.99
241,117.8049,34.849426,2.08
242,117.979225,34.837864,2.01
243,118.153465,34.826057,1.51
244,118.32766,34.814,0.97
245,118.50185,34.801693,0.72
246,118.67592,34.78914,0.67
247,118.84987,34.776352,0.58
248,119.02374,34.76331,0.53
249,119.19758,34.750027,0.5
250,119.37124,34.736504,0.51
251,119.54492,34.722725,0.5
252,119.71851,34.708714,0.49
253,119.89196,34.694466,0.57
254,120.06528,34.67996,0.73
255,120.23865,34.66522,0.85
256,120.411766,34.65023,0.91
257,120.5849,34.635006,0.96
258,120.75787,34.619545,1.08
259,120.930786,34.603836,1.21
260,121.10359,34.58789,1.43
261,121.276276,34.571712,1.54
262,121.448875,34.55528,1.62
263,121.62138,34.538616,1.76
264,121.79381,34.521717,2.11
265,121.966064,34.504578,3.6
266,122.13826,34.4872,4.67
267,122.31034,34.469593,4.3
268,122.48229,34.45174,2.87
269,122.654144,34.43366,8.76
270,109.91376,35.25491,10.31
271,110.07913,35.254917,10.28
