FID,Name,gdp2015,popye2015,fix2015,gdp12015,gdp22015,gdp32015,gdp2014,fix2014,gdp22014,gdp32014,gdp12014,gdp2013,fix2013,gdp12013,gdp22013,gdp32013,popye2013,popye2012,gdp2012,fix2012,gdp12012,gdp22012,gdp32012,popye2011,fix2011,gdp2011,gdp12011,gdp22011,gdp32011,popye2014,capation,url,lon,lat
0,攀枝花市,9251800,110.6600037,6445100,313100,6610300,2328400,8708500,6168100,6374100,2044200,290200,8008832,8008830,278800,5971900,1758100,112,7400300,7400300,4632500,257700,5614100,1528500,111.9000015,6168100,8708500,290200,6374100,2044200,111.9000015, 攀枝花市位于四川省西南部，金沙江和雅砻江交汇处，是中国唯一以花名命名的城市，为“南方丝绸之路”上重要的交通枢纽和商贸物资集散地。攀枝花矿产资源丰富，是是中国西部最大的钢铁钒钛和能源基地，被誉为“富甲天下的聚宝盆”、“中国西部工业明珠”。攀枝花市旅游资源丰富而独特，拥有国家、省级森林公园多处，被称为植物学家的天堂，有惊险刺激的“万里长江第一漂”，以及红格温泉、苏铁林、米易望月楼、青龙洞等景点。,https://gss1.bdstatic.com/9vo3dSag_xI4khGkpoWK1HF6hhy/baike/c0%3Dbaike150%2C5%2C5%2C150%2C50/sign=30889173dba20cf4529df68d17602053/95eef01f3a292df589f4bae1b7315c6034a8730a.jpg,101.7925522,26.52348905
1,宜宾市,15259000,552.0800171,12955100,2163500,8898900,4196600,14438100,11302600,8588200,3781200,2068700,13428937,13428900,1986100,8144600,3298200,550.4000244,12427600,12427600,7488000,1819400,7739700,2868500,554.2999878,11302600,14438100,2068700,8588200,3781200,554.2999878,宜宾是著名的中国历史文化名城，举世闻名的名酒五粮液，便产于这里，发达的酿酒工业使宜宾成为名副其实的“中国酒都”。宜宾是南丝绸之路的起点，素有“西南半壁古戎州”的美誉，因金沙江、岷江在此汇合，长江至此始称“长江”，故宜宾也被称为“万里长江第一城”。,https://gss0.bdstatic.com/94o3dSag_xI4khGkpoWK1HF6hhy/baike/w%3D268%3Bg%3D0/sign=9a57437a0524ab18e016e6310dc181f0/b3119313b07eca80ad099fbb9d2397dda144835a.jpg,104.7437522,28.81088905
2,泸州市,13534100,505.6799927,14637100,1678400,8067400,3788300,12597300,11810300,7589300,3409500,1598500,11404815,11404800,1556000,6843700,3005100,508.3999939,10304500,10304500,6711500,1436000,6240300,2628200,508.8999939,11810300,12597300,1598500,7589300,3409500,508.8999939,泸州是国家历史文化名城，具有两千多年历史文化；西汉设江阳侯国；梁武帝大同年间建置泸州。拥有泸州老窖酒酿制技艺、古蔺郎酒传统酿造技艺、泸州油纸伞、古蔺花灯等国家级非遗项目。?泸州历史源远流长，形成以名酒文化、生态文化、红色文化、历史文化、长江文化为代表的五大特色旅游资源。,https://gss1.bdstatic.com/-vo3dSag_xI4khGkpoWK1HF6hhy/baike/w%3D268%3Bg%3D0/sign=bc812048b8fd5266a72b3b129323f016/11385343fbf2b211ae59a9edc48065380cd78e19.jpg,105.6802522,28.90218905
3,岳阳市,26693384,563.2999878,21547100,3173300,14468300,11221200,26693400,17901300,14380600,9431300,2881500,24355100,24355100,2708900,13389400,8256800,555.9000244,21999200,21999200,11681133,2565800,12218300,7215100,563.2999878,17901300,26693400,2881500,14380600,9431300,563.2999878,岳阳，古称“巴陵”、又名“岳州”，湖南省地级市。第二大经济体，长江中游城市群重要成员，湖南省域副中心城市。建城始于公元前505年，是一座有着2500多年悠久历史的文化名城。位于江南洞庭湖之滨，依长江、纳三湘四水，江湖交汇，不仅是中国南北东西交通要道、国务院首批沿江开放之重地，且是长江中游重要的区域中心城市、湖南首位门户城市。,https://gss0.bdstatic.com/-4o3dSag_xI4khGkpoWK1HF6hhy/baike/w%3D268%3Bg%3D0/sign=dae3ec86316d55fbc5c6712055192877/a686c9177f3e67093549c5a737c79f3df8dc5519.jpg,113.1872522,29.38668905
4,重庆市,126566896,3358.399902,143532000,11502000,70693696,74977504,142626000,132237000,65290600,66725100,10610300,127832600,127833000,10026800,63979200,59682900,3358.399902,114096000,114096000,86064600,9400100,59751800,44944100,3375.199951,132237464,142626000,10610300,65290600,66725100,3375.199951, 重庆，简称“渝”。  为中华人民共和国省级行政区，中西部唯一的直辖市、国家中心城市 、超大城市、国际大都市，长江上游地区的经济、金融、科创、航运和商贸物流中心，  西部大开发重要的战略支点、“一带一路”和长江经济带重要联结点以及内陆开放高地； 既以江城、雾都、桥都著称，又以山城扬名,https://gss3.bdstatic.com/-Po3dSag_xI4khGkpoWK1HF6hhy/baike/w%3D268%3Bg%3D0/sign=d87ea247c5ea15ce41eee70f8e3b5dce/d1160924ab18972b0f42cc08eacd7b899f510afc.jpg,106.4874522,29.49898905
5,九江市,19026784,516.5900269,21199204,1076900,9849500,6636300,17799600,18122200,9849500,6636300,1313800,16017317,16017300,1300500,8982400,5734400,478.9448853,14201000,14201000,12063292,1182900,8088400,4929700,480.6885071,18122162,17799600,1313800,9849500,6636300,480.6889954, 九江，简称 “浔”，古称浔阳、柴桑、江州，为江西省地级市，是一座有着2200多年历史的江南文化名城，历代为都、郡、州、府治地。,https://gss1.bdstatic.com/-vo3dSag_xI4khGkpoWK1HF6hhy/baike/w%3D268%3Bg%3D0/sign=21fffe40d888d43ff0a996f44525b526/359b033b5bb5c9eac8325ad6db39b6003bf3b3c6.jpg,115.9617522,29.63418905
6,荆州市,15905000,643.1900024,19504900,3530100,6951200,5423700,14804900,16516300,6595800,4739100,3470000,13349300,13349300,3190900,5962000,4196400,661,11960200,11960200,10428900,2928000,5225400,3806800,662.7399902,7714200,10431200,3470000,6595800,4739100,658.4500122,荆州是一座古老文化与现代文明交相辉映的滨江城市。“禹划九州，始有荆州。”荆州建城历史长达3000多年。自公元前689年楚国建都纪南城，先后有6个朝代、34位帝王在此建都。从“天下第一循吏”孙叔敖到明朝万历首辅张居正，从荆州走出去的宰相达138位。,https://gss0.bdstatic.com/-4o3dSag_xI4khGkpoWK1HF6hhy/baike/c0%3Dbaike150%2C5%2C5%2C150%2C50/sign=699fef5d1338534398c28f73f27adb1b/4ec2d5628535e5ddbba4b9ee75c6a7efce1b6272.jpg,112.9302522,29.87208905
7,咸宁市,10300700,300.4100037,13725200,1785900,5004700,3510100,9642500,11708500,4765900,3156300,1720300,8721100,8721100,1629000,4230900,2861200,300.5100098,7609900,7609900,7564500,1453000,3719500,2559600,295.25,5630800,6520100,1720300,4765900,3156300,296.4599915,咸宁，为湖北省地级市，位于湖北省东南部，长江中游南岸，与湖南、江西接壤。素有“湖北南大门”之称，是武汉城市圈和长江中游城市群重要成员,https://gss0.bdstatic.com/-4o3dSag_xI4khGkpoWK1HF6hhy/baike/w%3D268%3Bg%3D0/sign=f741db9a851001e94e3c130980351cd1/cefc1e178a82b9011e1d51407b8da9773912ef15.jpg,114.1247522,29.94348905
8,宁波市,76102816,583.7999878,45065800,2847000,40982000,36207000,76102816,39894600,39804092,33917600,2751800,71645104,71645104,2720600,36809700,31108000,580.1500244,65822100,65822100,29014300,2685200,35168400,27968500,583.7800293,39894600,76102816,2756982,39804092,24193500,583.7999878,宁波地处东南沿海，位于中国大陆海岸线中段，长江三角洲南翼，东有舟山群岛为天然屏障，北濒杭州湾，西接绍兴市的嵊州、新昌、上虞，南临三门湾，并与台州的三门、天台相连,https://gss0.bdstatic.com/-4o3dSag_xI4khGkpoWK1HF6hhy/baike/w%3D268%3Bg%3D0/sign=4169afec1d3853438ccf8027ab28d743/0e2442a7d933c895a500c4fbdc1373f082020037.jpg,121.2824522,30.02068905
9,舟山市,10928459,97.36000061,11347600,1110070,4496310,5322080,10152567,9608800,4252670,4890931,1008966,9308493,9308490,957300,4115400,4235700,97.30999756,8531800,8531800,5706000,830600,3829400,3871800,97.48999786,9608800,10152567,1008966,4252670,4890931,97.48999786,舟山背靠上海、杭州、宁波等大中城市和长江三角洲等辽阔腹地，面向太平洋，具有较强的地缘优势，踞中国南北沿海航线与长江水道交汇枢纽，是长江流域和长江三角洲对外开放的海上门户和通道，与亚太新兴港口城市呈扇形辐射之势,https://gss3.bdstatic.com/-Po3dSag_xI4khGkpoWK1HF6hhy/baike/w%3D268%3Bg%3D0/sign=f24d549a9022720e7bcee5fc43f06d7b/bba1cd11728b471042a80c34cbcec3fdfd032347.jpg,122.1104522,30.05998905
